사업장명,도로명전체주소,소재지전화
유니안마시술소,"경기도 수원시 팔달구 효원로219번길 48 (인계동,영지빌딩4층)",031-223-6545
감초안마원,"경상북도 포항시 북구 새천년대로 1055, 201호 (창포동)",246-2301
야안마시술소,"부산광역시 북구 금곡대로285번길 22, 월드타워 7층 (화명동)",051-364-1114
성모지압안마원,"대구광역시 달서구 월배로 322, PK빌딩 5층 (송현동)",053-631-2020
윤정문안마원,"서울특별시 성동구 성수일로10길 32, (주)창미건물 3층 (성수동2가)",
대체안마원,제주특별자치도 제주시 귀아랑1길 3 (연동),064-749-2929
목동건강안마원,"서울특별시 양천구 오목로54길 2, 3층 (목동)",
전부다약손약초콜,경상북도 포항시 북구 칠성천길 98 (죽도동),
벤츠 안마시술소,경상북도 포항시 남구 중흥로61번길 14 (상도동),284-7774
좋은손길안마원,경상북도 포항시 북구 학전로 98 (두호동),054-252-7553
성혜지압안마원,경상북도 포항시 남구 상도로26번길 19 (상도동),277-1990
태을지압안마원,"경상북도 포항시 남구 대이로 112-3 (대잠동, 이동시장상가 2층)",275-1771
O-편한케어안마원,"경상북도 포항시 북구 중앙로308번길 12-7, 1층 (여천동)",054-614-5788
포항이동안마원,"경상북도 포항시 남구 대이로 93, 2층 (대잠동)",610-7575
사랑케어안마원,경상북도 포항시 북구 월막길24번길 1-2 (대신동),054-244-7720
한국안마원,충청북도 청주시 흥덕구 직지대로743번길 28 (운천동),
박기관안마지압원,"부산광역시 서구 해안새벽시장길 48, 2층 (충무동1가)",051-242-9955
오손도손건강안마원,경기도 가평군 가평읍 옥골길 3,
오스마일안마원,인천광역시 미추홀구 신기길 28 (주안동),
강남안마시술소,"부산광역시 연제구 과정로 137, 삼호라이프레포츠텔 지하2층 (연산동)",
백선생지압안마원,경상남도 산청군 신안면 원지강변로63번길 30-38,
허준안마원,"경기도 의정부시 체육로 298-7, 크로바프라자 203호 (녹양동)",
라파지압원,"충청남도 서산시 예천1로 36, 2층 (예천동)",
신세계지압안마원,"대구광역시 서구 서대구로42길 34-1, 1층 (평리동)",
바른체형안마원,"경상북도 안동시 경동로 159, 1층 (송현동)",
건강나라안마원 구암역점,"대구광역시 북구 태암남로 10, 영광빌딩 5층 (태전동)",532171371
활력안마원,"강원도 춘천시 공지로 226, 3층 (효자동)",033-261-9675
마음가득안마원,"강원도 춘천시 춘천로 312, 4층 404호호 (후평동)",033-252-6619
늘편한안마원,"대전광역시 동구 옥천로 183, 209호 (판암동)",042-286-1113
수안마시술소,"대전광역시 유성구 온천로 22, 5층 (봉명동)",
뉴속초안마시술소,강원도 속초시 먹거리2길 34 (교동),033-638-0022
명성안마원,"전라북도 전주시 완산구 평화18길 21-7, 1층 (평화동1가)",063-715-1106
성라파엘안마원,"광주광역시 북구 자산로 89-1, 천주교광주대교시각장애인선교회 3층 (신안동)",062-527-6004
가온안마원,"인천광역시 미추홀구 인주대로 162, 삼성빌딩 (용현동)",032-888-3697
건강안마원,충청남도 서천군 서천읍 서천로 19-2,419526636
친사랑 안마지압원,충청남도 서천군 장항읍 장서로 48-5,
함양안마원,경상남도 함양군 수동면 수동1길 172,
수동지압원,전라남도 나주시 문평면 수동길 84-9,
수기모아안마원,"강원도 춘천시 애막골길3번길 61, 1층 (석사동)",033-262-1868
계산지압안마원,"인천광역시 계양구 장제로 719-23, 5층 502호 (작전동)",032-555-2236
가좌보건안마원,"인천광역시 서구 건지로399번길 3, 301호 (가좌동)",032-710-7571
서현국가공인안마센터안마원,"경기도 성남시 분당구 불정로376번길 7, 건일빌딩 3층 303호 (서현동)",031-704-8885
금손지압안마원,"경기도 남양주시 별내2로 64, 쎈타프라자 901호 (별내동)",
영지압원,"부산광역시 서구 천마로 145-1, 1층 (남부민동)",
건강지킴안마원,"인천광역시 계양구 계산새로87번길 16, 계양신명스카이홈 2층 202호 (용종동)",032-547-8580
참손길지압힐링센터,"경기도 수원시 영통구 대학3로4번길 2, 광교 파인렉스2 303호 (이의동)",031-212-7554
태안지압안마원,"충청남도 태안군 태안읍 군청로 26, 2층",041-672-8852
안마박사,전라남도 목포시 백년대로337번길 10-1(상동),
동탄보건안마원,"경기도 화성시 동탄대로19길 10, 신유메디프라자 703,704호 (오산동)",031-372-7791
팔팔지압원,"부산광역시 사상구 사상로 88, TY빌딩 5층 (감전동)",051-313-0188
천사의 손,"울산광역시 중구 학성공원4길 2-1, 1층 (학성동)",052-904-2004
클래식안마원,"경기도 구리시 검배로 56-1, 한림빌딩 (수택동)",315633002
가구거리 햇님안마원,"부산광역시 동구 중앙대로460번길 32, 1층 (좌천동)",516326544
드림도수안마원,"광주광역시 광산구 첨단중앙로170번길 12, 3층 (쌍암동)",
회복이됐다안마원,"경기도 파주시 광탄면 혜음로 1371, 회복이됐다안마원 1층",
해밀안마원,"부산광역시 부산진구 서전로9번길 27, 4층 (부전동)",051-819-1992
서강안마지압원,"부산광역시 사하구 낙동대로 280, 301동 B102호 (괴정동, 사하역 비스타 동원)",
거뜬안마원,충청북도 충주시 야현4길 19(교현동),
약손 지압 안마원,"경기도 수원시 권선구 금곡로212번길 25, 광일프라자 506호 (금곡동)",031-298-8575
침사랑안마지압원,대전광역시 대덕구 계족산로43번길 14 (중리동),635-7550
하늘약손안마원,"대전광역시 대덕구 계족로521번길 34, 102호 (중리동)",
정안마원,"대전광역시 서구 문정로170번길 154, 2층 (둔산동)",042-863-9675
사랑모아안마원,"대전광역시 서구 관저중로95번길 42, 1층 (관저동)",042-300-0535
21세기지압안마원,"대전광역시 서구 가장로 106, 201,202호 (가장동, 삼성 래미안아파트)",042-524-3375
천지인지압안마원,"대전광역시 대덕구 중리동로17번길 52, 1층 (중리동)",042-627-5353
와아! 지압안마원,"대전광역시 대덕구 중리동로56번길 24, 1층 (중리동)",042-321-7441
큰손안마원,대전광역시 대덕구 한남로 115 (오정동),
금강안마원,"대전광역시 대덕구 옛신탄진로 121, 2층 (오정동, 대림빌딩)",042-622-4822
라파지압안마원,"대전광역시 서구 한밭대로 701, 2층 (월평동)",042-488-8277
강덕안마원,대전광역시 서구 계룡로342번길 207 (갈마동),042-531-1556
약손지압안마원,"대전광역시 서구 벌곡로1285번길 120, 3층 (가수원동)",042-545-7259
건강한안마원,"대전광역시 서구 둔산중로 20, 207호 (탄방동)",482-7913
명심안마원,"대전광역시 서구 정림로 55, 209호 (정림동, 우성아파트1차)",042-840-7753
조완종안마원,대전광역시 서구 괴정로8번길 113 (괴정동),532-1907
송경진지압안마원,"대전광역시 서구 대덕대로168번길 26, 3층 301호 (갈마동)",042-525-9675
고침안마원,"대전광역시 서구 도마로 51 (변동, 성암화인빌 1층)",522-4008
몸사랑안마원,"대전광역시 서구 청사서로 26, 504호 (월평동)",042-471-9990
이선생안마원,"대전광역시 서구 탄방로7번길 132, 1층 (탄방동)",042-322-7288
명인안마원,"대전광역시 서구 둔산로 230, 2층 (둔산동)",042-472-5992
건강지킴 안마원,"대전광역시 서구 도산로 342, 2층 (용문동)",
진안마원,부산광역시 동구 중앙대로349번길 38 (수정동),464-7535
바른몸건강지킴이안마원,"부산광역시 수영구 연수로401번길 4, 4층 (수영동)",051-761-1188
지압박사 안마원,"부산광역시 수영구 수영로384번길 26, 2층 (남천동)",051-622-2807
한성안마원,부산광역시 동구 고관로 164 (좌천동),632-1122
온지압안마원,부산광역시 동구 조방로 38 (범일동),867-9417
HC힐링안마원,"부산광역시 동구 범일로 113, 2층 (범일동)",204-7575
가자장수힐링지압안마원,"부산광역시 동구 조방로 39-11, 5층 (범일동)",051-635-7575
약손경락지압원,"부산광역시 동래구 명륜로103번길 2, 2층 (명륜동)",051-557-1470
건강찾기안마원,"경상남도 창원시 마산합포구 반월동1길 18, 우체국 골목 골프연습장앞동 (월포동)",055-247-5575
전통안마지압센타,"경상남도 창원시 마산회원구 삼호로 36, 신세계백화점앞동 2층 (양덕동)",055-253-5569
설탕안마시술소,"경상남도 창원시 성산구 마디미로21번길 4 (상남동, 아이죤빌딩6,7층)",284-8374
동양지압시술원,"경상남도 창원시 마산회원구 팔용로 3, 양덕사거리동 2층 (양덕동)",055-297-8917
마산물리지압시술원,"경상남도 창원시 마산합포구 신마산시장길 14, 번개떡집위쪽동 2층 (월남동5가)",055-244-2028
정일품안마원,"경상남도 창원시 마산합포구 오동서17길 10-16, 1층 (중성동)",055-221-7577
한효안마센타,경상남도 창원시 마산회원구 북성로 118 (회원동),055-222-0179
핸드테크지압원,"경상남도 창원시 마산합포구 성호남1길 21, 1층 (추산동)",
화타의손,경상남도 창원시 마산회원구 합성옛길 271 (합성동),055-255-3525
마이더스안마원,경상남도 창원시 의창구 반계로 103 (팔용동),294-2080
윤안마원,경상남도 창원시 성산구 마디미로31번길 10 (상남동),286-6734
명인안마원,"경상남도 창원시 성산구 원이대로393번길 25, 케이프타운 4층 4037, 4038호 (반지동)",
행복한지압원,"경상남도 창원시 마산회원구 용마로 126, 3층 303호호 (양덕동)",
현안마원,"경상남도 창원시 의창구 평산로159번길 9, 2층 (서상동)",055-251-2398
편한몸안마원,"경상남도 창원시 의창구 원이대로 283, 4층 403, 404호 (봉곡동, 청마상가)",055-277-7580
기룡안마센타,경상남도 창원시 마산합포구 진동면 서촌숲끝길 16,
실로암안마지압원,경상남도 창원시 진해구 용재로 11-1 (용원동),
백세안마원,"경상남도 창원시 성산구 신월로 8, 1층 (신월동)",055-283-2220
참좋은지압안마원,"경상남도 통영시 새터길 18, 2층 (서호동)",055-646-9981
쵸이스안마시술소,"경상남도 통영시 안개로 32, 2,3층 (무전동)",641-5285
통영지압안마원,경상남도 통영시 당동길 4 (당동),055-648-8771
재생지압침술원,경상남도 밀양시 터미널3길 13 (내이동),352-3175
유명지압침술원,경상남도 밀양시 무안면 문화중앙길 18-1,352-0062
행림안마원,경상남도 밀양시 하송정3길 26 (내이동),356-0855
태백건강안마원,"강원도 태백시 황지로 34-1, 2층 (황지동)",033-552-6537
오행침안마원,강원도 인제군 기린면 기린로 47-1,461-5758
황용진안마원,강원도 춘천시 옛경춘로 334 (칠전동),033)251-9989
길인배 안마원,강원도 춘천시 효자로 63 (효자동),033-251-5588
김영삼 시술소,강원도 춘천시 공지로 442-17 (근화동),033)256-0303
호반 안마원,강원도 춘천시 소양로 174 (소양로2가),033-255-1471
한림침안마시술원,강원도 인제군 인제읍 비봉로 9-2,461-3208
동명침안마원,강원도 인제군 서화면 천도로 110,461-2356
태림시술원,강원도 춘천시 시청길10번길 11 (조양동),033-257-3332
승록안마원,강원도 춘천시 번개시장길 5 (소양로1가),033)242-7588
중앙안마시술소,강원도 춘천시 시청길 16-1 (조양동),033)244-1235
정다운 안마원,강원도 춘천시 춘주로92번길 19 (온의동),033-241-0325
박기철 안마원,강원도 춘천시 효석로89번길 19 (석사동),033-264-1875
바오로안마원,강원도 춘천시 성심로47번길 32 (후평동),033)244-2999
함수영건강지킴이안마원,강원도 춘천시 효제길 34 (효자동),242-5123
시원안마원,"강원도 춘천시 애막골길16번길 22-1 (석사동,1층)",033-263-7588
산안마시술소,"강원도 원주시 장미공원길 25-5, 4층 (단계동)",033-744-3242
새아침안마원,"강원도 원주시 중앙시장길 6 (중앙동,중앙시장 라동 27호)",
수안마시술소,"강원도 원주시 장미공원길 16 (단계동,5층)",033-742-5445
슈퍼맨안마시술소,강원도 원주시 장미공원길 47-1 (단계동),033-731-5096
명안마원,"강원도 원주시 중앙시장길 11 (중앙동,자유시장 지하 나-7호)",
평화안마원,"강원도 원주시 남원로 659-2, 106호 (명륜동)",
권재혁전통안마원,"강원도 원주시 평원로 44, 1층 (평원동)",033-743-7553
에덴지압시술원,강원도 원주시 강변로 211-3 (단구동),033-764-1211
건강안마원,"강원도 원주시 한지공원길 94-34, 101, 104호 (명륜동, 현대아파트 상가)",033-766-0090
강남안마원,강원도 원주시 치악로 1803 (명륜동),
베데스다 안마원,강원도 원주시 금불4길 32 (단계동),033-731-9675
더드림안마원,"강원도 원주시 서원대로 408, 광장빌딩 5층 505호 (단구동)",
권성길서울안마원,"강원도 원주시 남산로 180, 1층 112호 (학성동, 대성빌딩)",033-900-7899
구암보건안마센터,"광주광역시 동구 의재로96번길 26-1, 1층 (소태동)",
엄지지압안마원,"서울특별시 중랑구 면목로85길 8, 성우빌딩 2층 201호 (상봉동)",02-496-9703
건강안마센터 효자손,"광주광역시 서구 풍금로 171, 평화빌딩 5층 (금호동)",
해든손 지압원,"광주광역시 광산구 임방울대로 334, 노블메디컬센터 8층 (수완동)",062-954-4040
충북보건안마센타,"충청북도 청주시 청원구 상리로8번길 4, 청주아트홀 3층 (율량동)",043-236-5544
김연서라파안마원,"인천광역시 계양구 하느재로5번길 5, 2층 203호 (계산동)",
비너스안마시술소,전라북도 익산시 인북로4길 21-1 (인화동1가),063-843-9553
썬안마시술소,전라북도 익산시 익산대로2길 29 (인화동1가),
건강사랑안마사랑,전라북도 익산시 선화로33길 60 (남중동),063-854-0195
두드림안마원,"전라북도 익산시 동서로5길 129, 삼우약국 (신동)",
장수안마원,전라북도 익산시 인북로24길 2 (남중동),063-832-9898
건강안마원,"전라북도 익산시 신동로 12-1, 피자캣 1층 (신동)",
상상안마시술소,전라북도 익산시 목천로1길 24-25 (인화동1가),063-856-7979
바른자세안마원,"인천광역시 계양구 경명대로 1138, 동남빌딩 5층 (계산동)",545-8235
몽 안마시술소,"인천광역시 계양구 도두리로 21 (계산동,(8층))",032-545-8577
계양건강안마원,"인천광역시 계양구 장제로995번길 7 (박촌동,무진빌딩 5층층)",032-554-1015
라파안마원,인천광역시 계양구 계양문화로 86 (용종동),032-555-1522
밝은세상안마원신천역점,"대구광역시 동구 송라로 86, 4층 (신천동)",053-754-8885
바른몸약손안마원,경상남도 통영시 광도면 죽림2로 76-163,055-642-2002
라파힐링케어안마원,"경기도 고양시 일산동구 강석로 145, 고양축협 마두지점 2층 201호 (마두동)",031-901-4789
용지압안마 힐링센터 안마원,"경기도 용인시 수지구 성복2로 17, 골드프라자1 지3층 B314호 (성복동)",031-264-7575
태양안마원,"경기도 고양시 덕양구 호국로 798, 삼성홈타워오피스텔 상가 204호 (성사동)",031-965-1888
다나지압안마원,"경기도 의정부시 충의로 62, 4층 (용현동)",
토닥토닥안마원,"부산광역시 동래구 충렬사로 38, 2층 (안락동)",
건강지압안마원 손길,"광주광역시 광산구 첨단강변로 95, 3층 302호 (쌍암동)",971-9975
참손길지압안마원,"서울특별시 영등포구 여의대방로 375, 아일렉스타워 4층 401, 402호 (여의도동)",02-1544-3057
오학안마원,"경기도 여주시 여양로 222-3, 1층 (천송동)",031-884-2999
김포보건힐링안마원,"경기도 김포시 유현로 52, 프라임빌복합상가 206호 (풍무동)",
진흥안마원,충청북도 충주시 국원대로 140-1 (연수동),043-852-7888
성진안마원,"대전광역시 동구 흥룡로71번길 99, 2층 (가양동)",
수기근통안마원,"강원도 속초시 먹거리길 18, 2층 (교동)",
이아소안마원,"서울특별시 금천구 금하로 734-1, 2층 (시흥동)",28967776
검단서재민안마원,"인천광역시 서구 완정로10번길 6-6, 두경프라자 302호 (마전동)",032-568-4880
박덕화안마원,"서울특별시 강북구 도봉로 325, 수성타워 11층 (수유동)",
한국정통안마원,"서울특별시 노원구 동일로 1368, 롯데프라자빌딩 5층 1호 (상계동)",02-932-7577
검암지압안마원,"인천광역시 서구 검암로 27, 중앙프라자 201호 (검암동)",032-716-9166
중앙 백 안마원,"경상북도 경주시 화랑로 53, 2층층 (성건동)",
증평안마센터,충청북도 증평군 증평읍 중앙로4길 13,043-836-4275
신의손길안마원,"인천광역시 부평구 세월천로 23, 2층 (청천동)",032-502-5302
해피안마원,"경기도 부천시 경인로 316-1, 2층 (소사본동)",
부평안마시술소,"인천광역시 부평구 대정로 66, 다운타운일레븐 303호 (부평동)",
하늘안마원,"제주특별자치도 제주시 중앙로14길 6-1, 2층 (이도일동)",064-749-0888
성보수기안마원,"경상남도 김해시 활천로16번길 9, 101(일부)호 (삼정동, 경남빌라)",
손길지압안마원,"경기도 포천시 소흘읍 송우로 53, 우덕프라자 3층",031-544-5654
교하보건안마원,"경기도 파주시 청석로 272, 센타프라자1 405호 (동패동)",031-944-9967
경주지압안마원,"부산광역시 동래구 석사로34번길 22, 2층 (사직동)",051-502-3696
땡큐안마지압원,"광주광역시 서구 상무평화로 62, 라인동산아파트 상가1동 2층 208호 (치평동)",
정읍시민안마원,"전라북도 정읍시 중앙로 49, 212호 (연지동, 정읍연지영무예다음주상복합)",063-536-4339
에덴 건강안마원,세종특별자치시 조치원읍 새내10길 59,
한국보건안마센터,"광주광역시 동구 의재로 13-5, 1층 (학동)",
홍선생안마원,"경상남도 창녕군 남지읍 동포7길 9, 2층",055-521-7585
쉼터안마원,"인천광역시 미추홀구 경인남길102번길 107, 2층 (용현동)",032-442-6636
강남안마원,"경기도 부천시 옥산로 142, 3층 1호 (도당동)",032-665-2254
우사우사안마원,"전라남도 신안군 압해읍 압해로 860-1, 202호",
백지압안마원,"서울특별시 노원구 동일로 1343, 동일프라자빌딩 304호 (상계동)",02-932-6700
가야안마지압원,부산광역시 부산진구 가야대로510번길 84 (가야동),
최재춘엄지로지압안마원,"경기도 화성시 병점중앙로 87, 태안병점 브이타운 1층 (병점동)",031-232-9924
미안마시술소,"경기도 남양주시 경춘로 1260, 하나프라자 209~211호 (평내동)",031-511-6969
달인안마원,제주특별자치도 제주시 오복1길 24-7 (이도이동),064-900-5578
시원손안마원,"충청남도 서산시 대산읍 구진로 15, 1층",
참좋은손안마원,"경기도 안산시 단원구 광덕동로 61, 중앙프라자 509 호 (고잔동)",031-487-8978
더조은안마원,"경상남도 창원시 진해구 충장로657번길 28, EM시티빌딩 3층 (장천동)",055-547-4855
비젼안마원,"제주특별자치도 제주시 신대로16길 41, 2층 (연동)",
제이안마시술소,"경기도 구리시 체육관로 140, 일군타워 3층 (교문동)",
대성안마원,"서울특별시 강북구 인수봉로56길 9-2, 1층 (수유동)",02-902-7610
기찬안마원,"강원도 강릉시 옥가로 61, 1층 (교동)",033-645-4787
체리안마시술소,"광주광역시 광산구 임방울대로 779 (쌍암동,지하1층)",062-972-3503
수안마,"광주광역시 광산구 첨단중앙로152번길 46 (쌍암동,3층)",062-974-2342
운화경락지압원,광주광역시 광산구 사암로92번길 55 (우산동),062-944-7412
바비안마시술소,"광주광역시 광산구 사암로 214, 3층 (우산동)",062-962-5883
OK 안마 지압원,광주광역시 광산구 사암로 286 (월곡동),062-456-7575
세븐안마시술소,대전광역시 유성구 온천서로 30 (봉명동),042-825-4420
동경안마시술소,"대전광역시 유성구 온천로 36, 4, 5층 (봉명동)",042-826-7200
킹안마시술소,"대전광역시 유성구 온천로 34 (봉명동,5층)",042-825-8599
장대지압안마원,대전광역시 유성구 유성대로 780 (장대동),822-2823
오뚜기안마시술소,"대전광역시 유성구 계룡로141번길 29-5, 2층 (봉명동)",864-5454
안마이야기안마원,"대전광역시 유성구 노은로 144, 504호 (지족동, 노은타운)",
샴페인안마시술소,대전광역시 유성구 계룡로141번길 13-9 (봉명동),042-825-6003
미소안마원,"대전광역시 유성구 지족로 367, 5층 (지족동, 타워프라자)",472-7505
백선생지압안마원,"경상남도 진주시 남강로 481, 1층 (신안동)",
서궁안마시술소,"경상남도 진주시 순환로 528, 15층 (평거동, 원정스카이팰리스)",055-745-1274
진주지압안마원,경상남도 진주시 돗골로94번길 6 (상평동),759-4385
건강안마원,경상남도 진주시 진주성로87번길 8-1 (상봉동),
정유섬지압,"경상남도 양산시 양주3길 11-10, 1층 (중부동)",055-382-0444
약손건강안마원,경상남도 양산시 동면 금오4길 66,372-1080
A안마시술소,경상남도 거제시 서문로 70 (고현동),055-637-8262
햇빛안마클리닉,"경상남도 거제시 옥포로 250, 2층 (옥포동)",055-687-8563
한빛시술원,경상남도 김해시 호계로517번길 27 (서상동),055-336-7457
로뎀지압원,"경상남도 김해시 내외중앙로 44 (외동,덕산베스트코아 703호)",055-328-6489
웰빙안마원,"경상남도 김해시 함박로119번길 18, 208동 205,206호 (외동, 덕산아파트 부상가)",336-4446
보성안마원,"경상남도 김해시 내외중앙로 44 (외동, 덕산베스트코아 302호)",
샘안마시술소,경상남도 김해시 번화1로 78 (대청동),055-313-5966
라파지압원,경상남도 김해시 진영읍 여래로 27,346-2252
백세건강지압원,경상남도 김해시 가락로93번길 7 (서상동),903-7416
정선생지압안마원,"경상남도 김해시 번화1로68번길 7, 204호 (대청동, 장안플라자)",
남해최고지압원,"경상남도 남해군 남해읍 화전로43번길 7, 상하이반점",055-862-5775
창원안마원,"경상남도 창원시 의창구 도계로 102 (도계동, 대남상가208-2호)",277-2281-2
두드림안마원,"경상남도 창원시 성산구 용지로 74, 전원상가 2층 3호 (중앙동)",055-267-7555
건암물리지압원,"경상남도 창원시 진해구 동진로 56-4, 1층 (석동)",055-547-3987
약손안마원,"경상남도 창원시 의창구 북면 감계로 304, 재성빌딩 2층 202호",
바른안마원,"경상남도 창원시 성산구 상남로 71, 창원코아상가 4층 404호 (상남동)",
편강안마원,"경상남도 창원시 성산구 상남로 246, 2층 (신월동)",055-266-2577
제일안마센터,"경상남도 창원시 마산회원구 양덕로 193, 제일빌딩 (석전동)",
팔팔안마원,"경상남도 창원시 의창구 팔용로 420, 유토피아상가 3층 301호 (팔용동)",055-298-5882
백양지압원,경상남도 김해시 삼안로 228 (삼방동),055-326-7798
장유힐링지압원,경상남도 김해시 능동로7번길 8-23 (삼문동),055)323-7588
구민시술원,강원도 고성군 간성읍 간성로 75,
동하안마시술소,"강원도 동해시 한섬로 107, 3층 (천곡동, 경성빌딩)",033-533-9494
원강안마테라피안마원,강원도 양구군 양구읍 장터길 12,033-482-7896
다나시술원,강원도 속초시 중앙로 406 (장사동),
행복안마원,"전라남도 여수시 미평로 79, 211호 (미평동, 주공상가)",
싼타,"경기도 안산시 단원구 선부광장1로 62, 503,504호 (선부동, 동원빌딩)",031-411-4390
태양안마시술소,"경기도 안산시 상록구 용신로 383, 삼우프라자 6층 (본오동)",
로뎀지압마사지안마원,"경기도 안산시 단원구 고잔2길 16, 에머랄드빌딩 506,507호 (고잔동)",031-411-4321
송창운안마원,"경기도 안산시 단원구 광덕동로 99, 현대타운 107호 (고잔동)",031-411-1413
광주안마,경기도 광주시 경안로 13-7 (경안동),031-767-1141
손안마원,"경기도 광주시 파발로 103, 2층 (송정동)",031-797-7655
용안마시술소,경기도 안산시 단원구 광덕2로 163-5 (고잔동),031-484-3398
평양안마시술소,"경기도 안산시 단원구 광덕2로 186-3, 401호 (고잔동, 장은프라자)",031-487-7765
좋은손길안마원,"경기도 안산시 단원구 광덕서로 86, 302호 (고잔동, 법조타운)",031-483-7565
네로궁안마시술소,"경기도 부천시 길주로 86, 해피플러스 8층 801,802호 (상동)",032-328-5844
가나안지압안마원,"경기도 부천시 부일로 414-6, 2층 (심곡동, 한일코지세상)",667-7575
물방울안마시술소,경기도 부천시 부일로199번길 21 (상동),327-1588
서울안마원,"경기도 부천시 부일로 320, 203호 (중동)",665-5932
이희진안마원,경기도 부천시 석천로 38  (상동),667-6500
네이버안마원,경기도 부천시 중동로248번길 52  (중동),321-9717
호두안마시술소,"경기도 부천시 부흥로303번길 62, 8층 (중동)",032-321-5272
뉴필안마시술소,"경기도 고양시 일산동구 무궁화로 34 (장항동,남정씨티프라자Ⅱ505,509,510호)",901-7237
원안마시술소,"경기도 고양시 일산동구 정발산로 38, 장항동이스턴시티 506,506-1,507,507-1,508호 (장항동)",031-908-2861
두손안마원,"경기도 부천시 경인로 519, 205호 (괴안동)",346-8875
로마안마시술소,"경기도 부천시 길주로 288, 901호,902호 (중동, 다운타운)",032-328-6755
자연안마원,"경기도 부천시 부천로 173, 2층 (춘의동)",032-667-1414
치료손지압안마원,"경기도 부천시 부천로 113, 2층 (심곡동)",032-664-7111
마법의약손안마원,"경기도 부천시 상동로 105, 현해프라자 504호 (상동)",032-326-8875
부일지압안마원,"경기도 부천시 자유로 68, 1층 일부호 (심곡본동)",032-346-6665
철산안마시술소,"경기도 광명시 오리로854번길 16, 4층 (철산동, 금강빌딩)",2612-8460-2
다나건강안마원,"경기도 광명시 너부대로 46, 1층 (광명동)",02-2617-6600
광명바른손안마원,"경기도 광명시 디지털로33번길 5, 5층 (철산동, 그랜드프라자빌딩)",02-2612-1255
힐링안마원,"경기도 광명시 범안로 1008, 녹원토피아빌딩 302호 (하안동)",02-897-1919
이브안마시술소,"경기도 부천시 길주로 115, 시그마타워 403호 (상동)",070-7357-7910
부천약손지압안마원,"경기도 부천시 송내대로42번길 65 (송내동, , 지상1층)",032-654-8575
부천지압안마원,"경기도 부천시 중동로254번길 78, 필타운 3층 303호 (중동)",032-675-9374
뉴부일지압안마원,"경기도 부천시 경인로 263, 2층 (심곡본동)",032-655-8275
조은지압안마원,경기도 부천시 삼작로352번길 2 (여월동),032-654-6825
스토리안마시술소,"경기도 부천시 상동로 105, 901호 (상동)",032-241-0101
테라안마시술소,"경기도 부천시 상동로 81, 센타프라자 7층전체 (상동)",032-217-0071
홍안마시술소,"경기도 부천시 길주로 80, 로얄타워 402호 (상동)",032-321-5559
스타안마시술소,"경기도 고양시 덕양구 호국로777번길 35 (주교동,2층)",965-6336
우진안마시술소,"경기도 고양시 일산동구 무궁화로 31-2 (장항동,풍성프라자601~606호)",
청담안마시술소,"경기도 고양시 덕양구 호국로789번길 7 (주교동,301,302호)",031-962-9577
와이지한국보건안마원,"경기도 고양시 일산동구 중앙로 1048, 606호 (백석동, 일산르메이에르프라자)",031-906-2235
푸른지압안마원,"경기도 고양시 일산서구 중앙로 1371 (주엽동, 뉴서울프라자 3층)",031-908-0789
부천보건지압안마센터,"경기도 부천시 상동로 69  (상동,새롬프라자 15차 304호)",321-7954
태권V안마시술소,"경기도 성남시 분당구 서현로 204, 지층 102~104호 (서현동,  엘지분당에클라트 2차)",
캔디안마시술소,"경기도 성남시 분당구 성남대로 345, 지1층 (정자동, 정자역프라자 )",713-0217
수안마시술소,"경기도 성남시 분당구 돌마로 85, 8층 (금곡동, 동양프라자 )",031-711-4929
가은안마시술소,"경기도 성남시 분당구 돌마로 73, 지1층 (금곡동, 우방타워)",712-7958
휠안마시술소,"경기도 성남시 분당구 성남대로331번길 3-13, 지층 01호 (정자동, 대명제스트빌딩)",031-711-6620
최은영힐링지압안마원,"경기도 화성시 메타폴리스로 47-7, 201호 (반송동, 서해더블루)",031-8003-0904
향남안마원,"경기도 화성시 향남읍 행정서로1길 13-5, 1층",031-351-6263
에스안마시술소,"경기도 화성시 향남읍 평3길 15, 3층 (에쓰뻬랑스)",031-8047-0171
동화안마원,"경기도 화성시 봉담읍 동화길 93-6, 지존타워 4층 402호",031-278-5741
동경안마시술소,"경기도 화성시 동탄중심상가2길 29, 302~304호 (반송동, 세림프라자)",031-8058-1331
안녕지압안마원,"경기도 화성시 화산로 58, 1층 101호 (송산동)",031-234-7275
휴나래안마원,"경기도 화성시 효행로 1056, 206호 (병점동)",031-235-9981
초코렛안마시술소,"경기도 화성시 효행로 1068, 9층 (병점동, 리더스프라자)",031-898-9901
캐슬안마시술소,"경기도 화성시 떡전골로 82, 5-6층 (병점동, 동아골드프라자)",031-231-2102
여우안마시술소,"경기도 화성시 효행로 1056 (병점동, 탑프라자5층)",
에이플러스안마시술소,"경기도 화성시 효행로 1069, 8층 801~806호 (진안동, 우성메디피아)",031-225-6577
벨안마시술소,"경기도 화성시 노작로 149, 6층 (반송동, J.O프라자)",031-513-8887
베스트안마시술소,"경기도 화성시 효행로 1072, 9층 (병점동, 상록프라자)",031-232-6889
스타안마시술소,"경기도 성남시 중원구 성남대로 1137, 6층 (성남동)",031-751-2663
라파건강안마원,"경기도 성남시 분당구 성남대로331번길 13, 402호 (정자동, 백궁프라자)",719-9062
